ZTFID,IAUID,host_redshift
ZTF19aanirdx,SN2019cmx,0.092
ZTF19aanjjhk,SN2019cew,0.07
ZTF19aanmclt,SN2019cmt,0.045
ZTF19aanmdsr,SN2019cng,0.125
ZTF19aanmeyw,SN2019cjq,0.06
ZTF19aanonjt,SN2019cpe,0.054
ZTF19aanramr,SN2019cmj,0.04529
ZTF19aansyyn,SN2019cmz,0.078
ZTF19aantarc,SN2019crb,0.099
ZTF19aanuhox,SN2019cqd,0.06
ZTF19aanuipj,SN2019cqe,0.06
ZTF19aanuipr,SN2019czu,0.07
ZTF19aanxgrz,SN2019cnu,0.027089
ZTF19aanxosu,SN2019dat,0.08
ZTF19aanxrkt,SN2019dbi,0.09
ZTF19aanxufb,SN2019czw,0.061
ZTF19aanydko,SN2019coj,0.07
ZTF19aaoaaap,SN2019cqz,0.1
ZTF19aaobwpx,SN2019czy,0.05
ZTF19aaojnrx,SN2019cyz,0.0508
ZTF19aaokist,SN2019dac,0.07459
ZTF19aaomkvl,SN2019crp,0.03961
ZTF19aaoyech,SN2019cya,0.06
ZTF19aaoyjoz,SN2019cxe,0.0615
ZTF19aaozpew,SN2019cxg,0.06
ZTF19aaozplq,SN2019dee,0.1
ZTF19aapbgmp,SN2019dgu,0.08
ZTF19aapbgty,SN2019deg,0.075
ZTF19aapcoqg,SN2019dfi,0.08264
ZTF19aapcvdi,SN2019cza,0.07671
ZTF19aapcvxi,SN2019dag,0.06
ZTF19aapcxiy,SN2019dfb,0.09
ZTF19aapdkza,SN2019dfl,0.08
ZTF19aapeime,SN2019cxs,0.027899
ZTF19aapfktd,SN2019dfv,0.09
ZTF19aaphmto,SN2019cwj,0.08
ZTF19aaphntn,SN2020pjh,0.09
ZTF19aapnzde,SN2019dku,0.07087
ZTF19aapocyd,SN2019dkv,0.06
ZTF19aapszzy,SN2019dkx,0.07
ZTF19aaptwpu,SN2019dlh,0.07
ZTF19aaptzar,SN2019dfa,0.02544
ZTF19aapuohr,SN2019dfx,0.04
ZTF19aapvhhp,SN2019dli,0.08434
ZTF19aapvogv,SN2019dxp,0.081
ZTF19aapwbvm,SN2019dom,0.082
ZTF19aapxocr,SN2019drc,0.071
ZTF19aaqhelq,SN2019drf,0.0566
ZTF19aaqtcmy,SN2019duu,0.07
ZTF19aaqtyku,SN2019cww,0.0234
ZTF19aaqxcfs,SN2019drk,0.08
ZTF19aaraxhh,SN2019duf,0.04129
ZTF19aarfksi,SN2019duk,0.0798
ZTF19aarflsx,SN2019dtb,0.08
ZTF19aarfnto,SN2019drp,0.08523
ZTF19aarhxgn,SN2019dsq,0.033
ZTF19aarinmw,SN2019duh,0.05
ZTF19aariwpf,SN2019duj,0.072
ZTF19aarixue,SN2019edu,0.07
ZTF19aarlefl,SN2019due,0.04346
ZTF19aarmtgu,SN2020urj,0.041831
ZTF19aarmznp,SN2019dwd,0.05123
ZTF19aartuev,SN2019dzn,0.053447
