ZTFID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V,host_redshift
ZTF18aaqjqqc,SN2023emb,12:07:36.73,+26:59:15.2,60036.42,r,18.0997,-18.59,>17.594,>5.96,11.634,SN Ia,0.04915,80.24484867,0.058,0.049154
ZTF18aaqkcso,SN2019fck,13:36:13.01,+38:21:18.1,58628.23,g,14.4015,-20.3,24.362,5.831,18.531,SN Ia,0.02,75.3719551,0.019,0.02
ZTF18aaqkqxi,SN2018bvx,11:11:52.57,+39:36:18.2,58248.24,r,18.361,-19.3,36.6,13.908,22.692,SN Ia,0.0761,65.88014186,0.061,0.0761
ZTF18aaqldvl,SN2022jze,13:20:13.60,+31:33:08.6,59722.3,g,17.907,-19.32,20.191,6.311,13.88,SN Ia,0.063,82.32638592,0.032,0.063
ZTF18aaqnxjb,SN2021qai,14:37:18.56,+61:17:01.1,59393.24,r,18.5227,-18.23,22.6,13.652,8.948,SN Ia,0.05096,51.50831451,0.038,0.05096
ZTF18aaqpeoq,SN2022joa,14:47:06.21,+63:13:54.1,59713.43,g,18.3567,-19.31,>17.917,>6.12,11.797,SN Ia,0.07544,49.28662497,0.063,0.07544491
ZTF18aaqqhis,SN2018ccy,10:23:02.39,+45:42:09.0,58257.22,r,17.8147,-19.3,28.019,11.408,16.611,SN Ia,0.06,55.29594744,0.035,0.06
ZTF18aaqskoy,SN2018bhv,17:03:37.86,+36:25:45.1,58255.42,g,18.2535,-19.68,25.604,11.688,13.916,SN Ia,0.085,36.53635397,0.065,0.085
ZTF18aaqydat,SN2021pde,16:16:58.57,+27:37:03.8,59382.33,r,18.1508,-18.65,>10.769,8.769,>2,SN Ia,0.04979,44.71077686,0.156,0.049797
ZTF18aarbaba,SN2020mnu,18:03:01.30,+20:37:51.8,59025.37,r,18.2468,-19.09,17.928,8.965,8.963,SN Ia,0.0594,19.59213381,0.326,0.0594
ZTF18aarbgdn,SN2018bfh,10:22:41.09,+15:56:20.7,58245.15,r,17.2666,-19.22,>16.002,3.922,>12.08,SN Ia,0.044,53.80142873,0.096,0.044541
ZTF18aarcypa,SN2018bil,11:09:50.24,+28:58:16.9,58257.21,r,18.0875,-17.68,>23.601,11.631,>11.97,SN Ia,0.032,67.55060868,0.074,0.032
ZTF18aarikzk,SN2020hll,15:05:03.58,+28:48:55.5,58964.36,g,18.269,-18.76,17.306,7.248,10.058,SN Ia,0.0563,60.54501241,0.069,0.0563
ZTF18aarkwgc,SN2025id,11:36:05.48,+44:14:04.9,60693.41,g,18.1634,-19.34,>11.802,6.702,>5.1,SN Ia,0.07011,67.16240121,0.065,0.070118
ZTF18aarlukc,SN2019ger,11:31:28.45,+62:10:11.4,58643.2,g,17.9289,-19.29,20.494,8.451,12.043,SN Ia,0.0626,52.53283572,0.032,0.0626
ZTF18aarunfu,SN2024poo,16:13:53.29,+43:00:13.4,60519.25,g,17.7362,-19.37,32.079,9.151,22.928,SN Ia,0.05969,46.38665794,0.029,0.059692
ZTF18aarwxum,SN2019lme,17:49:29.15,+58:34:09.7,58693.26,g,18.8243,-19.29,27.429,10.488,16.941,SN Ia,0.09,30.86465305,0.116,0.09
ZTF18aasdted,SN2018big,17:25:39.15,+59:26:48.3,58266.32,r,15.7176,-18.82,25.384,11.255,14.129,SN Ia,0.01815,33.92401221,0.082,0.01815
ZTF18aasprui,SN2018euz,16:14:33.80,+36:56:36.1,58346.16,g,17.363,-18.77,22.441,6.44,16.001,SN Ia,0.038,46.36960918,0.045,0.038
ZTF18aasrlze,SN2025pdd,18:16:05.15,+43:12:11.7,60869.28,r,18.1094,-19.12,22.93,11.914,11.016,SN Ia,0.062,24.32028319,0.087,0.062
ZTF18aatezaj,SN2021hdw,15:06:10.17,+53:24:38.3,59309.39,r,17.7406,-18.15,23.429,8.477,14.952,SN Ia,0.03419,53.8585058,0.049,0.034254
ZTF18aatgdph,SN2021cgl,14:25:07.05,+50:31:52.7,59270.41,g,16.4841,-19.52,25.165,9.511,15.654,SN Ia,0.03589,60.59002288,0.038,0.03589
ZTF18aatjfoe,SN2021itd,14:44:51.08,+43:19:00.4,59325.37,g,18.2505,-19.55,24.844,9.862,14.982,SN Ia,0.081,61.96610198,0.046,0.080143
ZTF18aatmlsy,SN2022gnc,16:13:06.14,+38:03:52.0,59685.35,r,17.2804,-18.32,23.523,11.363,12.16,SN Ia,0.03,46.68813872,0.042,0.03
ZTF18aatrkga,SN2020rgz,18:12:01.05,+51:43:28.5,59088.17,r,16.8727,-18.67,24.097,8.37,15.727,SN Ia,0.0285,26.89322601,0.113,0.0285
ZTF18aatrtkc,SN2024qny,18:34:50.37,+49:55:54.7,60530.28,g,17.8017,-19.18,21.023,8.022,13.001,SN Ia,0.0528,22.98013336,0.15,0.0528
ZTF18aatwqed,SN2024gev,14:28:55.78,+51:01:25.9,60424.34,g,16.4475,-19.11,22.486,8.938,13.548,SN Ia,0.02948,59.81384834,0.029,0.029481
ZTF18aauizcr,SN2018btb,11:34:27.87,+46:21:45.4,58269.18,r,16.8455,-19.02,20.377,10.931,9.446,SN Ia,0.03384,65.4865724,0.05,0.03384
ZTF18aaunfqq,SN2018lpb,15:54:19.19,+39:27:14.2,58269.27,g,18.3554,-19.14,21.44,9.464,11.976,SN Ia,0.07109,50.31158625,0.027,0.07109
ZTF18aauotcv,SN2024hbc,16:00:37.96,+36:29:14.8,60428.43,g,18.7873,-19.34,>24.9,>10.08,14.82,SN Ia,0.093,49.14892721,0.064,0.093
ZTF18aavdwmh,SN2021dtm,18:00:38.36,+57:38:59.5,59280.41,g,18.2832,-19.4,24.028,8.332,15.696,SN Ia,0.073,29.33454007,0.139,0.073
ZTF18aaviawx,SN2024eif,12:18:23.60,+28:58:25.7,60391.3,g,18.3345,-19.32,>17.313,>2.9,14.413,SN Ia,0.07474,82.48136348,0.07,0.074747
ZTF18aavrwhu,SN2018bxo,13:46:56.45,+43:08:14.2,58276.25,g,17.747,-19.45,27.056,11.148,15.908,SN Ia,0.062,70.43587053,0.035,0.062
ZTF18aavryhc,SN2022acfw,13:21:06.78,+27:54:53.2,59923.47,g,17.882,-19.1,>18.362,11.302,>7.06,SN Ia,0.05595,83.37499568,0.045,0.055951
ZTF18aavrzxp,SN2018cdu,14:21:47.84,+48:09:59.7,58269.26,g,18.289,-19.22,18.652,5.665,12.987,SN Ia,0.07,62.59809002,0.074,0.07
ZTF18aavsilo,SN2020jje,14:25:33.03,+15:57:30.6,58969.31,r,17.2532,-19.31,24.272,0.452,23.82,SN Ia,0.04592,65.49414953,0.079,0.04592
ZTF18aavvnzu,SN2021jwq,18:00:55.23,+52:44:22.7,59334.45,g,17.401,-19.42,25.782,8.718,17.064,SN Ia,0.0498,28.73300405,0.121,0.0498
ZTF18aawfqax,SN2024iei,15:39:48.48,+42:17:43.9,60447.42,g,17.8425,-19.14,22.419,9.052,13.367,SN Ia,0.054,52.68982497,0.107,0.054
ZTF18aawglif,SN2024ifw,15:10:03.51,+21:31:01.1,60449.4,g,18.2601,-19.42,22.915,9.155,13.76,SN Ia,0.073,58.02936413,0.132,0.073
ZTF18aawiilg,SN2025bzk,17:00:15.91,+36:13:34.9,60731.48,g,17.6999,-19.04,>16.679,8.619,>8.06,SN Ia,0.05,37.1742664,0.046,0.05
ZTF18aawitoj,SN2023cnq,17:41:55.67,+63:45:23.0,59993.47,g,17.2247,-18.37,>11.97,>8.97,>3,SN Ia,0.029,31.77069022,0.085,0.029
ZTF18aawitry,SN2021abte,17:46:02.89,+63:21:34.7,59510.22,g,18.0641,-19.98,21.144,3.709,17.435,SN Ia,0.089,31.32546705,0.079,0.089
ZTF18aawjywv,SN2018ccj,17:55:00.05,+42:53:54.0,58272.39,g,17.7016,-18.58,20.477,8.517,11.96,SN Ia,0.04,27.99036253,0.073,0.04
ZTF18aawlfnj,SN2023mtc,18:57:13.76,+30:11:22.3,60153.26,r,16.2832,-17.25,32.458,14.472,17.986,SN Ia,0.01,12.11422816,0.438,0.01
ZTF18aawlxls,SN2022qmk,19:52:11.02,+50:46:35.0,59802.27,r,16.2674,-19.2,23.652,9.103,14.549,SN Ia,0.025,11.8774338,0.361,0.025
ZTF18aawmeiw,SN2022wen,17:47:14.67,+64:15:50.3,59867.16,r,17.1501,-18.89,25.688,12.657,13.031,SN Ia,0.036,31.17070002,0.09,0.036
